								
0								
0	13	29	-1	6623	6614	6624	-1	
1	13	18	-1	6623	3316	-1	-1	
2	14	19	-1	6623	-1	-1	-1	
3	14	111	-1	6623	-1	-1	-1	
4	13	51	-1	6623	6625	-1	-1	
5	20	108	-1	6626	6627	-1	-1	
6	14	430	-1	6630	-1	-1	-1	
7	20	109	-1	6628	6629	-1	-1	
end								
								
1								
0	14	28	7	6612	6613	-1	-1	400
1	-1	-1	-1	6614	6613	6615	-1	400
2	13	38	-1	6612	2081	-1	-1	400
3	-1	-1	-1	6612	6616	6641	-1	400
4	-1	-1	-1	6616	6617	-1	-1	600
5	-1	-1	-1	6618	6619	6620	6621	700
6	-1	-1	-1	6618	6622	-1	-1	800
7	14	390	-1	6618	6622	-1	-1	800
8	-1	-1	-1	6618	6622	6230	-1	900
end								
								
3								
0	-1	-1	-1	-1	-1	-1	-1	
1	-1	-1	-1	-1	-1	-1	-1	
2	-1	-1	-1	-1	-1	-1	-1	
end								
