0		
1	2	3	5	15	25	40	50	60	75	90	
end																		
1		
0	1000000	25	35	45	55	65	75	85	96	107	118	130	142	154	167	180	193	
end																		
2																		
0	130000	20	23	27	32	38	45	53	62	72	83	95	108	122	137	153	170	
1	130000	5	10	15	20	26	32	38	45	52	59	67	75	84	93	104	125	
2	130000	5	10	15	20	26	32	38	45	52	59	67	75	84	93	104	125	
3	80000	30	34	39	45	52	60	69	79	90	102	115	129	144	160	177	195	
4	130000	4	6	8	10	13	16	19	23	27	31	36	41	46	52	58	64	
5	80000	10	15	25	35	46	57	68	80	92	104	117	130	144	158	174	200	
6	80000	10	15	25	35	46	57	68	80	92	104	117	130	144	158	174	200	
14	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
end																		
3		
0	500000	12	288	1	-1	-1	-1	-1	-1	-1	1000000							
1	500000	12	288	1	-1	-1	-1	-1	-1	-1	1500000							
2	500000	12	288	1	-1	-1	-1	-1	-1	-1	2000000							
3	450000	12	288	2	-1	-1	-1	-1	-1	-1	2500000							
4	450000	12	288	3	-1	-1	-1	-1	-1	-1	3000000							
5	450000	12	288	3	-1	-1	-1	-1	-1	-1	3500000							
6	450000	12	288	4	-1	-1	-1	-1	-1	-1	4000000							
7	400000	12	288	5	-1	-1	-1	-1	-1	-1	4500000							
8	400000	12	288	6	-1	-1	-1	-1	-1	-1	5000000							
9	400000	12	288	7	-1	-1	-1	-1	-1	-1	5500000							
10	350000	12	288	8	-1	-1	-1	-1	-1	-1	6000000							
11	350000	12	288	9	-1	-1	-1	-1	-1	-1	6500000							
12	350000	12	288	10	-1	-1	-1	-1	-1	-1	7000000							
13	300000	12	288	11	-1	-1	-1	-1	-1	-1	7500000							
14	300000	12	288	12	-1	-1	-1	-1	-1	-1	8000000							
end																		
