0	76	1025	3	5	6	7	0	0	0	0	0	0	
1	76	1026	3	5	6	7	0	0	0	0	0	0	
2	76	1027	3	5	6	7	0	0	0	0	0	0	
3	76	1028	3	5	6	7	0	0	0	0	0	0	
4	76	1029	5	7	9	12	0	0	0	0	0	0	
5	76	1030	3	5	7	10	0	0	0	0	0	0	
6	76	1031	3	5	6	7	0	0	0	0	0	0	
7	76	1032	10	25	40	65	0	0	0	0	0	0	
8	76	1033	10	25	40	65	0	0	0	0	0	0	
9	76	1034	10	25	40	65	0	0	0	0	0	0	
10	76	1035	10	25	40	65	0	0	0	0	0	0	
0	106	1025	7	0	0	0	0	0	0	0	0	0	
1	106	1026	7	0	0	0	0	0	0	0	0	0	
2	106	1027	7	0	0	0	0	0	0	0	0	0	
3	106	1028	7	0	0	0	0	0	0	0	0	0	
4	106	1029	12	0	0	0	0	0	0	0	0	0	
5	106	1030	7	0	0	0	0	0	0	0	0	0	
6	106	1031	7	0	0	0	0	0	0	0	0	0	
7	106	1032	65	0	0	0	0	0	0	0	0	0	
8	106	1033	65	0	0	0	0	0	0	0	0	0	
9	106	1034	65	0	0	0	0	0	0	0	0	0	
10	106	1035	65	0	0	0	0	0	0	0	0	0	
end														
