0	1	50	50	50	50	50	50	50	50	
1	1	30	30	30	30	30	30	30	30	
2	1	20	20	20	20	20	20	20	20	
3	1	50	50	50	50	50	50	50	50	
4	1	50	50	50	50	50	50	50	50	
5	1	50	50	50	50	50	50	50	50	
6	1	100	100	100	100	100	100	100	100	
7	1	100	100	100	100	100	100	100	100	
8	1	200	200	200	200	200	200	200	200	
9	1	100	100	100	100	100	100	100	100	
10	1	50	50	50	50	50	50	50	50	
11	1	50	50	50	50	50	50	50	50	
12	1	100	100	100	100	100	100	100	100	
13	1	200	200	200	200	200	200	200	200	
14	1	20	20	20	20	20	20	20	20	
15	1	20	20	20	20	20	20	20	20	
16	1	30	30	90	30	90	90	30	30	
17	1	10	10	10	10	10	10	10	10	
18	1	50	100	100	50	100	100	50	50	
19	1	100	100	100	100	100	100	100	100	
20	1	50	50	50	50	50	50	50	50	
21	1	30	30	30	30	30	30	30	30	
22	1	50	50	50	50	50	50	50	50	
23	1	65	65	65	65	65	65	65	65	
24	1	15	15	15	15	15	15	15	15	
25	1	100	100	100	100	100	100	100	100	
26	1	0	50	50	50	50	50	50	50	
27	1	0	100	100	100	100	100	100	100	
28	1	10	10	10	10	10	10	10	10	
29	1	50	50	50	50	50	50	50	50	
30	1	0	0	0	0	0	0	0	0	
31	1	5	5	5	5	5	5	5	5	
32	1	5	5	5	5	5	5	5	5	
33	1	10	10	10	10	10	10	10	10	
34	1	15	15	15	15	15	15	15	15	
35	1	25	25	25	25	25	25	25	25	
36	1	35	35	35	35	35	35	35	35	
37	1	5	5	5	5	5	5	5	5	
38	1	5	5	5	5	5	5	5	5	
39	1	5	5	5	5	5	5	5	5	
40	1	10	10	10	10	10	10	10	10	
41	1	10	10	10	10	10	10	10	10	
42	1	10	10	10	10	10	10	10	10	
43	1	15	15	15	15	15	15	15	15	
44	1	15	15	15	15	15	15	15	15	
45	1	15	15	15	15	15	15	15	15	
46	1	20	20	20	20	20	20	20	20	
47	1	20	20	20	20	20	20	20	20	
48	1	20	20	20	20	20	20	20	20	
49	1	20	20	20	20	20	20	20	20	
50	1	20	20	20	20	20	20	20	20	
51	1	20	20	20	20	20	20	20	20	
52	1	20	20	20	20	20	20	20	20	
53	1	35	35	35	35	35	35	35	35	
54	1	20	20	20	20	20	20	20	20	
55	1	20	20	20	20	20	20	20	20	
56	1	20	20	20	20	20	20	20	20	
57	1	20	20	20	20	20	20	20	20	
58	1	20	20	20	20	20	20	20	20	
59	1	20	20	20	20	20	20	20	20	
60	1	20	20	20	20	20	20	20	20	
61	1	20	20	20	20	20	20	20	20	
62	1	20	20	20	20	20	20	20	20	
63	1	20	20	20	20	20	20	20	20	
64	1	50	50	50	50	50	50	50	50	
end										
										
										
										
										
										
										
										
										
										
										
										
