																								
0																								
1	"Increase Defense"	1																						
2	"Increase DEF Success Chance"	1																						
3	"Increase Basic Defense"	1																						
4	"Decrease DMG"	1																						
5	"Increase Strength"	1																						
6	"Increase Dexterity"	1																						
7	"Increase Stamina"	1																						
8	"Increase Energy"	1																						
9	"Increase Lead"	1																						
10	"Increase Max HP"	1																						
11	"Increase Max MP"	1																						
12	"Increase Max AG"	1																						
13	"Increase Max SD"	1																						
14	"Increase Excellent DMG"	1																						
15	"Increase Crit DMG"	1																						
16	"Increase ATK Speed"	1																						
17	"Increase Skillpower"	1																						
18	"Increase Elemental DEF"	1																						
19	"Increase Elemental ATK"	1																						
20	"Increase Elemental DEF Success Chance"	1																						
21	"Increase Elemental ATK Success Chance"	1																						
22	"Increase Max Attack/Wizardry"	1																						
23	"Increase Min Attack/Wizardry"	1																						
24	"Increase  Attack/Wizardry"	1																						
25	"Increase Max Curse"	1																						
26	"Increase Min Curse"	1																						
27	"Increase Curse"	1																						
28	"Increase All Stats"	1																						
end																								
1																								
1	1	"Increase Defense"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	1	
2	2	"Increase DEF Success Chance"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	1	
3	3	"Increase Basic Defense"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	3	
4	4	"Decrease DMG"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	3	
5	5	"Increase Strength"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	0	
6	6	"Increase Dexterity"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	0	
7	7	"Increase Stamina"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	0	
8	8	"Increase Energy"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	0	
9	9	"Increase Lead"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	0	
10	10	"Increase Max HP"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	2	
11	11	"Increase Max MP"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	2	
12	12	"Increase Max AG"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	2	
13	13	"Increase Max SD"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	2	
14	14	"Increase Excellent DMG"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	3	
15	15	"Increase Crit DMG"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	3	
16	16	"Increase ATK Speed"	1	8000	2	330000	3	330000	4	330000	5	2000	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	4	
17	17	"Increase Skillpower"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	0	
18	18	"Increase Elemental DEF"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	0	
19	19	"Increase Elemental ATK"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	0	
20	20	"Increase Elemental DEF Success Chance"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	1	
21	21	"Increase Elemental ATK Success Chance"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	1	
22	22	"Increase Max Attack/Wizardry"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	0	
23	23	"Increase Min Attack/Wizardry"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	0	
24	24	"Increase  Attack/Wizardry"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	0	
25	25	"Increase Max Curse"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	0	
26	26	"Increase Min Curse"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	0	
27	27	"Increase Curse"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	0	
28	28	"Increase All Stats"	100	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	-1	
29	22	"Increase Max Attack/Wizardry"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	5	
30	23	"Increase Min Attack/Wizardry"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	5	
31	24	"Increase  Attack/Wizardry"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	5	
32	25	"Increase Max Curse"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	5	
33	26	"Increase Min Curse"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	5	
34	27	"Increase Curse"	1	18000	2	60000	3	100000	4	150000	5	170000	6	200000	7	150000	8	100000	9	50000	10	2000	5	
end																								
